,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Firm_Code,Boom_Date,How_Big
325,69410,KOSDAQ,엔텔스,소프트웨어 개발 및 공급업,운용지원솔루션,2007-06-20,12월,최영래,http://www.ntels.com,서울특별시,/g/1tc_c5pl,2021-07-11,0.79
326,61970,KOSDAQ,엘비세미콘,반도체 제조업,"골드범핑, 솔더범핑 등",2011-01-31,12월,박노만,http://www.lbsemicon.com,경기도,/g/11b_lsllc,2019-01-06,1.12
327,61970,KOSDAQ,엘비세미콘,반도체 제조업,"골드범핑, 솔더범핑 등",2011-01-31,12월,박노만,http://www.lbsemicon.com,경기도,/g/11b_lsllc,2020-02-02,0.97
328,61970,KOSDAQ,엘비세미콘,반도체 제조업,"골드범핑, 솔더범핑 등",2011-01-31,12월,박노만,http://www.lbsemicon.com,경기도,/g/11b_lsllc,2021-05-02,0.97
329,58630,KOSDAQ,엠게임,소프트웨어 개발 및 공급업,"온라인 게임 개발 및 퍼블리싱(열혈강호온라인,홀릭2,영웅)",2008-12-19,12월,권이형,http://www.mgamecorp.com,서울특별시,엠게임,2021-10-10,1.06
330,123040,KOSDAQ,엠에스오토텍,자동차 신품 부품 제조업,자동차 차체 부품,2010-08-06,12월,김범준,http://ms-global.com,경상북도,/g/11b_kf3xm,2020-03-01,1.25
331,115960,KOSDAQ,연우,플라스틱제품 제조업,화장품 용기,2015-11-02,12월,기중현,http://www.yonwookorea.com,인천광역시,연우,2021-08-29,2.17
332,53280,KOSDAQ,예스24,무점포 소매업,"도서,음반/DVD,화장품",2008-05-07,12월,김석환,,서울특별시,/m/0v4gqdm,2017-04-09,1.19
333,53280,KOSDAQ,예스24,무점포 소매업,"도서,음반/DVD,화장품",2008-05-07,12월,김석환,,서울특별시,/m/0v4gqdm,2018-04-15,1.28
334,53280,KOSDAQ,예스24,무점포 소매업,"도서,음반/DVD,화장품",2008-05-07,12월,김석환,,서울특별시,/m/0v4gqdm,2019-11-24,1.03
335,53280,KOSDAQ,예스24,무점포 소매업,"도서,음반/DVD,화장품",2008-05-07,12월,김석환,,서울특별시,/m/0v4gqdm,2021-11-21,1.07
336,122640,KOSDAQ,예스티,특수 목적용 기계 제조업,반도체 및 디스플레이 제조 장비,2015-12-16,12월,"장동복, 강임수 각자대표이사",http://www.yest.co.kr,경기도,예스티,2021-03-07,1.39
337,45060,KOSDAQ,오공,기타 화학제품 제조업,"접착제,씰란트,광택제,연마제",2000-08-10,12월,"김윤정, 조한창",http://www.okong.com,인천광역시,오공,2017-11-12,1.35
338,45060,KOSDAQ,오공,기타 화학제품 제조업,"접착제,씰란트,광택제,연마제",2000-08-10,12월,"김윤정, 조한창",http://www.okong.com,인천광역시,오공,2020-02-23,1.01
339,53980,KOSDAQ,오상자이엘,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",CATIA Solution,2002-04-09,12월,"이국래,김선기(각자 대표이사)",http://www.osangjaiel.co.kr,인천광역시,/g/11b_lft9v,2020-03-29,1.52
340,48260,KOSDAQ,오스템임플란트,의료용 기기 제조업,치과용임플란트,2007-02-07,12월,엄태관,http://www.osstem.com,서울특별시,오스템임플란트,2017-05-07,1.26
341,48260,KOSDAQ,오스템임플란트,의료용 기기 제조업,치과용임플란트,2007-02-07,12월,엄태관,http://www.osstem.com,서울특별시,오스템임플란트,2020-09-20,1.19
342,48260,KOSDAQ,오스템임플란트,의료용 기기 제조업,치과용임플란트,2007-02-07,12월,엄태관,http://www.osstem.com,서울특별시,오스템임플란트,2021-11-28,2.38
343,67170,KOSDAQ,오텍,자동차 재제조 부품 제조업,"냉동 및 내장탑차, 앰블란스",2003-11-14,12월,"강성희, 소남영(각자 대표이사)",http://www.autech.co.kr,충청남도,/g/11bwwl8392,2020-08-16,1.14
344,49480,KOSDAQ,오픈베이스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","트래픽솔루션(웹스위치,트래픽서버)",2001-01-09,12월,송규헌,http://www.openbase.co.kr,서울특별시,오픈베이스,2018-03-11,1.45
345,122990,KOSDAQ,와이솔,전자부품 제조업,"SAW Filter, Wafer Chip, Duplexer",2010-09-10,12월,염상덕,http://www.wisol.co.kr,경기도,와이솔,2017-06-25,1.28
346,122990,KOSDAQ,와이솔,전자부품 제조업,"SAW Filter, Wafer Chip, Duplexer",2010-09-10,12월,염상덕,http://www.wisol.co.kr,경기도,와이솔,2019-07-07,1.08
347,122990,KOSDAQ,와이솔,전자부품 제조업,"SAW Filter, Wafer Chip, Duplexer",2010-09-10,12월,염상덕,http://www.wisol.co.kr,경기도,와이솔,2020-09-20,1.21
348,155650,KOSDAQ,와이엠씨,전자부품 제조업,"FPD 패널용 Target, Backing Plate 등",2012-11-15,12월,이윤용,http://www.ymc-inc.com,충청남도,/m/0wcyz94,2017-01-22,1.27
349,155650,KOSDAQ,와이엠씨,전자부품 제조업,"FPD 패널용 Target, Backing Plate 등",2012-11-15,12월,이윤용,http://www.ymc-inc.com,충청남도,/m/0wcyz94,2018-03-18,1.03
350,122870,KOSDAQ,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업,"음악 및 기타 오디오물 출판, 신인 아티스트 육성 및 매니지먼트",2011-11-23,12월,황보경,http://www.ygfamily.com,서울특별시,/m/082m25,2018-12-30,1.11
351,122870,KOSDAQ,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업,"음악 및 기타 오디오물 출판, 신인 아티스트 육성 및 매니지먼트",2011-11-23,12월,황보경,http://www.ygfamily.com,서울특별시,/m/082m25,2021-10-03,2.78
352,32820,KOSDAQ,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","시스템사업, 정보통신사업",2000-06-22,12월,노갑선,http://www.wooritg.com,서울특별시,우리기술,2018-01-07,1.57
353,32820,KOSDAQ,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","시스템사업, 정보통신사업",2000-06-22,12월,노갑선,http://www.wooritg.com,서울특별시,우리기술,2021-04-04,1.37
354,41190,KOSDAQ,우리기술투자,기타 금융업,창업자에 대한 투자 및 융자,2000-06-09,12월,이정훈,http://www.wooricapital.co.kr,서울특별시,/g/11b86rkyms,2017-12-03,1.02
355,41190,KOSDAQ,우리기술투자,기타 금융업,창업자에 대한 투자 및 융자,2000-06-09,12월,이정훈,http://www.wooricapital.co.kr,서울특별시,/g/11b86rkyms,2021-03-21,1.27
